RA,Dec,z_helio,z_err,M*,M*_err,mass_bin,Probability
49.577126,38.999664,0.032326,0.0064652,10000000000.0,0.6,3.0,4.780434491432291e-05
53.373997,40.365753,0.0179285489643,0.00358571,5000000000.0,0.3,3.0,5.3012305173910116e-05
54.7342,30.255856,0.011587,0.0023174,500000000.0,0.04,2.0,6.250221106380007e-05
55.299404,24.012428,0.007979,0.0015958,500000000.0,0.03,2.0,6.250221106380007e-05
55.519779,41.136211,0.018704,0.0037408,6000000000.0,0.3,3.0,5.157963282666464e-05
56.270931,20.761759,0.0174426087213,0.00348852,2000000000.0,0.1,3.0,6.0603813519280345e-05
56.618591,36.736599,0.0183069691535,0.00366139,6000000000.0,0.4,3.0,5.157963282666464e-05
58.565395,36.508778,0.0188645194323,0.0037729,4000000000.0,0.2,3.0,5.482280119476374e-05
59.979809,32.612568,0.0171490285745,0.00342981,3000000000.0,0.2,3.0,5.7228581392301396e-05
60.081619,22.899801,0.030879,0.0061758,5000000000.0,0.3,3.0,5.3012305173910116e-05
60.203804,35.013786,0.0135397567699,0.00270795,1100000000.0,0.07,3.0,6.418745773817684e-05
60.577194,25.816956,0.02914,0.005828,13000000000.0,0.8,4.0,4.5999746061620094e-05
60.752125,31.053383,0.022231,0.0044462,6000000000.0,0.3,3.0,5.157963282666464e-05
61.153362,33.290897,0.022154,0.0044308,5000000000.0,0.3,3.0,5.3012305173910116e-05
62.756241,26.159004,0.0188708194354,0.00377416,1000000000.0,0.06,2.0,6.440014579178909e-05
63.193329,36.897331,0.032783,0.0065566,13000000000.0,0.8,4.0,4.5999746061620094e-05
64.626907,33.773525,0.026062,0.0052124,6000000000.0,0.4,3.0,5.157963282666464e-05
66.707848,29.947615,0.018494,0.0036988,2000000000.0,0.1,3.0,6.0603813519280345e-05
48.209393,36.255356,0.055596,0.015,60000000000.0,4.0,4.0,3.705529147808151e-05
60.832943,27.017025,0.05194,0.015,30000000000.0,3.0,4.0,4.080156200022499e-05
47.458763,28.412031,0.052597,0.015,60000000000.0,4.0,4.0,3.705529147808151e-05
51.030125,39.220951,0.047259,0.015,40000000000.0,3.0,4.0,3.9189834982676744e-05
63.002865,38.768707,0.0195701197851,0.015,30000000000.0,4.0,4.0,4.080156200022499e-05
45.360722,35.645916,0.05684,0.015,90000000000.0,5.0,4.0,3.506880124067236e-05
45.366871,35.580917,0.0368,0.015,10000000000.0,0.9,3.0,4.780434491432291e-05
45.368591,35.884117,0.058348,0.015,20000000000.0,1.0,4.0,4.322172736416762e-05
45.417767,35.926476,0.047831,0.015,70000000000.0,4.0,4.0,3.6283318528727515e-05
45.501106,35.860382,0.0464217832109,0.015,13000000000.0,0.8,4.0,4.5999746061620094e-05
45.741726,35.741409,0.05146,0.015,40000000000.0,3.0,4.0,3.9189834982676744e-05
45.750496,35.616123,0.042733,0.015,40000000000.0,3.0,4.0,3.9189834982676744e-05
45.495949,35.76038,0.047165,0.015,40000000000.0,3.0,4.0,3.9189834982676744e-05
45.488022,35.162884,0.041949,0.015,20000000000.0,2.0,4.0,4.322172736416762e-05
51.429043,41.245056,0.05087,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
52.271175,39.766567,0.039876,0.015,10000000000.0,1.0,3.0,4.780434491432291e-05
45.5014,25.014578,0.0236710018355,0.015,2000000000.0,0.2,3.0,6.0603813519280345e-05
50.340115,26.342726,0.0378035889018,0.015,5000000000.0,0.4,3.0,5.3012305173910116e-05
47.426445,26.437025,0.0361473180737,0.015,8000000000.0,0.7,3.0,4.941015314465005e-05
44.643578,30.557858,0.061144,0.015,80000000000.0,5.0,4.0,3.563134847741732e-05
44.47683,31.633738,0.051705,0.015,10000000000.0,1.0,3.0,4.780434491432291e-05
45.415558,35.272865,0.035381,0.015,40000000000.0,4.0,4.0,3.9189834982676744e-05
45.663486,35.341358,0.044294,0.015,10000000000.0,1.0,3.0,4.780434491432291e-05
45.409206,35.529251,0.038228,0.015,20000000000.0,2.0,4.0,4.322172736416762e-05
45.099445,35.545513,0.058468,0.015,20000000000.0,1.0,4.0,4.322172736416762e-05
45.858814,35.633202,0.0420854910427,0.015,9000000000.0,0.8,3.0,4.855426858587597e-05
45.530491,35.634705,0.047078,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
45.779907,35.634991,0.03949,0.015,20000000000.0,2.0,4.0,4.322172736416762e-05
44.946819,35.669216,0.061431,0.015,50000000000.0,3.0,4.0,3.79960037946725e-05
45.21516,35.688171,0.053478,0.015,50000000000.0,3.0,4.0,3.79960037946725e-05
45.365513,35.727863,0.05969,0.015,20000000000.0,2.0,4.0,4.322172736416762e-05
45.401131,35.757023,0.037864,0.015,20000000000.0,1.0,4.0,4.322172736416762e-05
45.826946,35.765972,0.060244,0.015,40000000000.0,3.0,4.0,3.9189834982676744e-05
44.941391,35.781441,0.046547,0.015,50000000000.0,3.0,4.0,3.79960037946725e-05
45.523689,35.787598,0.04512,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
44.981052,35.824665,0.048017,0.015,11000000000.0,0.9,4.0,4.7138529185448596e-05
45.310013,35.82674,0.042513,0.015,40000000000.0,3.0,4.0,3.9189834982676744e-05
45.308266,35.879795,0.054153,0.015,50000000000.0,3.0,4.0,3.79960037946725e-05
45.817043,35.883678,0.055038,0.015,20000000000.0,1.0,4.0,4.322172736416762e-05
45.153854,35.966785,0.041271,0.015,20000000000.0,1.0,4.0,4.322172736416762e-05
45.149609,36.067154,0.047704,0.015,20000000000.0,1.0,4.0,4.322172736416762e-05
45.548996,36.113377,0.020297,0.015,2000000000.0,0.3,3.0,6.0603813519280345e-05
44.983112,36.159065,0.029661,0.015,10000000000.0,1.0,3.0,4.780434491432291e-05
45.516987,36.167812,0.054167,0.015,40000000000.0,3.0,4.0,3.9189834982676744e-05
45.582726,36.188938,0.036521,0.015,10000000000.0,1.0,3.0,4.780434491432291e-05
45.243446,36.208294,0.05313,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
45.361866,36.281059,0.050797,0.015,50000000000.0,3.0,4.0,3.79960037946725e-05
45.289433,36.33046,0.047394,0.015,40000000000.0,3.0,4.0,3.9189834982676744e-05
53.83419,39.338982,0.053041,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
52.156712,39.844921,0.028551,0.015,6000000000.0,0.7,3.0,5.157963282666464e-05
52.565952,39.94635,0.025296,0.015,20000000000.0,3.0,4.0,4.322172736416762e-05
50.455765,40.130299,0.0632875216438,0.015,9000000000.0,0.6,3.0,4.855426858587597e-05
50.498753,40.340294,0.0191312195656,0.015,2000000000.0,0.2,3.0,6.0603813519280345e-05
50.852409,40.355156,0.0172338686169,0.015,1000000000.0,0.2,2.0,6.440014579178909e-05
50.026451,40.366196,0.058136,0.015,30000000000.0,2.0,4.0,4.080156200022499e-05
51.074749,40.611511,0.0472552736276,0.015,11000000000.0,0.8,4.0,4.7138529185448596e-05
51.504398,40.694553,0.019692,0.015,7000000000.0,0.9,3.0,5.040315499127116e-05
45.457222,35.903435,0.039139,0.015,20000000000.0,2.0,4.0,4.322172736416762e-05
45.500431,29.99152,0.039334,0.015,30000000000.0,3.0,4.0,4.080156200022499e-05
45.772854,29.539228,0.043781,0.015,40000000000.0,3.0,4.0,3.9189834982676744e-05
57.739952,34.802929,0.032161,0.015,30000000000.0,3.0,4.0,4.080156200022499e-05
61.455338,38.05891,0.03234,0.015,30000000000.0,4.0,4.0,4.080156200022499e-05
63.416336,26.052385,0.0221176310588,0.015,4000000000.0,0.6,3.0,5.482280119476374e-05
60.755932,38.740704,0.023164,0.015,10000000000.0,2.0,3.0,4.780434491432291e-05
64.682526,26.923866,0.032917,0.015,6000000000.0,0.6,3.0,5.157963282666464e-05
50.619591,40.426094,0.0163932381966,0.015,1000000000.0,0.2,2.0,6.440014579178909e-05
65.344383,27.369169,0.0359856179928,0.015,60000000000.0,5.0,4.0,3.705529147808151e-05
63.403717,26.578775,0.0532734566367,0.015,20000000000.0,2.0,4.0,4.322172736416762e-05
43.342831,31.687477,0.038584,0.015,20000000000.0,2.0,4.0,4.322172736416762e-05
43.973656,32.334923,0.022745,0.015,10000000000.0,1.0,3.0,4.780434491432291e-05
44.648197,25.280048,0.031102,0.015,20000000000.0,2.0,4.0,4.322172736416762e-05
45.927353,30.620419,0.037721,0.015,20000000000.0,2.0,4.0,4.322172736416762e-05
46.811905,34.349018,0.050793,0.015,20000000000.0,1.0,4.0,4.322172736416762e-05
47.541733,31.921221,0.035257,0.015,10000000000.0,1.0,3.0,4.780434491432291e-05
47.622246,22.89905,0.041351,0.015,30000000000.0,3.0,4.0,4.080156200022499e-05
51.234806,38.943089,0.0174703287352,0.015,1000000000.0,0.1,2.0,6.440014579178909e-05
60.336601,26.823883,0.037566,0.015,10000000000.0,1.0,3.0,4.780434491432291e-05
